z,gamma
0.056610014930310315,0.0007612305126338814
0.09978155853367071,0.019105897443907727
0.12079425674769562,0.037280121642591535
0.13340187567611062,0.05630604359553837
0.1402787587279733,0.06798862725085658
0.1483017889551465,0.08401045626386444
0.15517867200700924,0.10359269172420738
0.1609094078835615,0.1177230548120684
0.16434784940949282,0.13407867192951395
0.16778629093542413,0.1517694414647101
0.17237087963666592,0.16578854185109193
0.17810161551321818,0.1834793113862881
0.1815400570391496,0.20183765713035962
0.18497849856508092,0.21418781699455314
0.18841694009101234,0.2325461627386246
0.19643997031818544,0.2586928975862416
0.2067552948959795,0.2819468021953988
0.21592447229846318,0.30130651225278327
0.22394750252563628,0.31298909590810153
0.24549506942147276,0.33261583644903614
0.27093953671336485,0.3430300253074912
0.29424452927801076,0.3457003301429925
0.31506620296281723,0.3453665420385549
0.3504821506799101,0.341494600027078
0.3683620466147532,0.338490507087139
0.3972449554325767,0.3314141992730605
0.433055687176721,0.3234477898471483
0.4501205451202322,0.3194423325938963
0.47724602826924617,0.31221025699774696
0.5125473612688081,0.30290869515408403
0.5299687983335268,0.2983024193128443
0.5574763305409778,0.2896239285974651
0.5924974942310193,0.2797586357329741
0.616846754222059,0.2728010081338068
0.6393112388581441,0.2658582155615034
0.6703718273090573,0.25696858607844986
0.6936386149678593,0.2496250742040638
0.7190830822597514,0.2432573793002457
0.7614905277462383,0.229208281694248
0.7896857482588753,0.2208635790833064
0.824528622388313,0.21064966308751393
0.8417208300179697,0.2060100084358304
0.8680822150501102,0.19776544225622011
0.9010912536990512,0.18715098053510243
0.91851269076377,0.18187712848498733
0.9448740757959104,0.17413324446203354
0.9781123438799135,0.16399822383638085
0.991866109983639,0.16011414407565167
