abs_uncert,count,pid,reco_coszen,reco_energy
1.2170805008067553,3.285,0,-0.875,6.6
0.9092665696133677,1.46,1,-0.875,6.6
2.7234559152452307,5.109999999999999,0,-0.625,6.6
4.047044847876113,4.745,1,-0.625,6.6
1.6706360745170379,6.935,0,-0.375,6.6
1.0456813616374632,2.92,1,-0.375,6.6
3.0486510565691893,8.03,0,-0.125,6.6
2.635094360785985,8.395,1,-0.125,6.6
1.6425415355564161,6.935,0,0.125,6.6
3.1508596426953264,8.395,1,0.125,6.6
2.9466616751312724,6.205,0,0.375,6.6
2.7299821233818267,7.665,1,0.375,6.6
1.5209324206208699,4.745,0,0.625,6.6
3.3252766868049584,4.015,1,0.625,6.6
1.4854655056930157,1.46,0,0.875,6.6
1.554854543527622,2.19,1,0.875,6.6
2.4928565239904867,4.015,0,-0.875,8.7
2.1502387523923714,3.65,1,-0.875,8.7
3.4141958047277137,5.84,0,-0.625,8.7
1.44930861398363,4.38,1,-0.625,8.7
4.537643874802408,8.76,0,-0.375,8.7
2.095557017378359,5.84,1,-0.375,8.7
5.065593613938256,10.95,0,-0.125,8.7
4.2617655721938,8.03,1,-0.125,8.7
2.4060531399748086,9.49,0,0.125,8.7
1.5209786964627405,6.205,1,0.125,8.7
1.8869373274711905,9.49,0,0.375,8.7
1.5553056112178076,6.57,1,0.375,8.7
2.2231471957238473,9.855,0,0.625,8.7
1.5729675285591234,5.84,1,0.625,8.7
4.625238402344494,4.745,0,0.875,8.7
3.2861267385040853,6.57,1,0.875,8.7
2.7234559152452307,5.109999999999999,0,-0.875,11.7
3.3252766868049584,4.015,1,-0.875,11.7
2.1375712040800363,6.935,0,-0.625,11.7
1.2040788269684906,2.5549999999999997,1,-0.625,11.7
2.785842311695367,12.775,0,-0.375,11.7
1.8163616752667608,3.285,1,-0.375,11.7
2.0002396552091763,10.95,0,-0.125,11.7
4.46442804808544,8.76,1,-0.125,11.7
2.822362121724759,20.075,0,0.125,11.7
2.2302260430037295,9.49,1,0.125,11.7
6.0433172907056285,13.87,0,0.375,11.7
4.123760274331826,10.95,1,0.375,11.7
2.450427417025544,16.425,0,0.625,11.7
5.264141009452836,11.68,1,0.625,11.7
6.183373924466582,13.504999999999999,0,0.875,11.7
5.532427964729939,14.235,1,0.875,11.7
5.092990132440564,10.219999999999999,0,-0.875,15.6
2.4046058822877803,4.38,1,-0.875,15.6
1.9119685084532985,9.855,0,-0.625,15.6
1.9834498446432332,5.109999999999999,1,-0.625,15.6
2.477380574113756,9.855,0,-0.375,15.6
1.3251775803457548,4.745,1,-0.375,15.6
5.743458983663598,21.535,0,-0.125,15.6
1.8942862419041366,7.3,1,-0.125,15.6
9.530210377075468,25.55,0,0.125,15.6
2.625569448470121,14.965,1,0.125,15.6
3.2613580888749287,27.74,0,0.375,15.6
3.857294153163353,21.9,1,0.375,15.6
8.534825974090612,28.105,0,0.625,15.6
3.8373562666389462,25.185,1,0.625,15.6
6.931406814917904,25.915,0,0.875,15.6
3.842523158032181,15.33,1,0.875,15.6
4.473744438289301,6.935,0,-0.875,20.7
1.1612509277046794,3.285,1,-0.875,20.7
3.1432095727822915,12.41,0,-0.625,20.7
2.5480583682394147,6.205,1,-0.625,20.7
3.3389245721285126,20.075,0,-0.375,20.7
3.2586455757922344,9.125,1,-0.375,20.7
4.576337883321079,30.66,0,-0.125,20.7
2.314616788050798,13.504999999999999,1,-0.125,20.7
3.3425613200290707,26.28,0,0.125,20.7
2.619248048982033,18.615,1,0.125,20.7
11.732138759649944,32.85,0,0.375,20.7
5.543870222190181,31.025,1,0.375,20.7
4.858432606099866,40.15,0,0.625,20.7
4.597573911086551,47.815,1,0.625,20.7
6.248606096710159,29.564999999999998,0,0.875,20.7
3.248485642519482,23.36,1,0.875,20.7
2.1343567645370576,4.745,0,-0.875,27.7
2.0421444627206196,8.395,1,-0.875,27.7
4.743245473133439,9.855,0,-0.625,27.7
1.281640833919924,4.38,1,-0.625,27.7
2.4636287330081728,16.06,0,-0.375,27.7
2.424413645244611,7.3,1,-0.375,27.7
2.896393787225624,14.6,0,-0.125,27.7
2.9690687616132005,13.87,1,-0.125,27.7
3.3485650527376225,29.2,0,0.125,27.7
2.7727201977510214,20.805,1,0.125,27.7
7.891868855109979,36.135,0,0.375,27.7
7.290250371564979,57.67,1,0.375,27.7
4.208037446736408,40.515,0,0.625,27.7
11.469407587903525,68.62,1,0.625,27.7
10.873557202435519,41.245,0,0.875,27.7
8.432750475918542,31.755,1,0.875,27.7
1.2583248963376243,4.015,0,-0.875,36.9
1.6680618705585153,5.475,1,-0.875,36.9
2.2078417489873035,6.205,0,-0.625,36.9
2.614087051699576,5.84,1,-0.625,36.9
2.2302260430037295,9.49,0,-0.375,36.9
3.2586455757922344,9.125,1,-0.375,36.9
3.9330898034451782,14.235,0,-0.125,36.9
2.2231471957238473,9.855,1,-0.125,36.9
4.7243076459425275,14.235,0,0.125,36.9
3.7774929321698,20.075,1,0.125,36.9
5.5579515405154805,31.39,0,0.375,36.9
5.234070874613834,66.065,1,0.375,36.9
5.539828797272728,41.975,0,0.625,36.9
5.4587881048038405,81.395,1,0.625,36.9
5.402626129881273,38.324999999999996,0,0.875,36.9
10.817510628553725,31.025,1,0.875,36.9
1.2202230013700266,1.825,0,-0.875,49.2
1.2040788269684906,2.5549999999999997,1,-0.875,49.2
2.07122284174426,6.935,0,-0.625,49.2
2.1502387523923714,3.65,1,-0.625,49.2
2.07122284174426,6.935,0,-0.375,49.2
1.281640833919924,4.38,1,-0.375,49.2
2.4414894071554967,8.395,0,-0.125,49.2
1.497397088385014,5.84,1,-0.125,49.2
2.0997662278326152,12.045,0,0.125,49.2
5.310111727426533,17.52,1,0.125,49.2
2.8353725159127015,21.535,0,0.375,49.2
12.076501832053468,52.56,1,0.375,49.2
7.469856932114654,25.185,0,0.625,49.2
4.800626876317233,62.78,1,0.625,49.2
3.558842668775418,31.39,0,0.875,49.2
9.000245454163554,20.805,1,0.875,49.2
