# count,pid,reco_coszen,reco_energy
101,0,-0.900, 6.6
210,0,-0.700, 6.6
310,0,-0.500, 6.6
423,0,-0.300, 6.6
498,0,-0.100, 6.6
519,0,0.100, 6.6
602,0,0.300, 6.6
595,0,0.500, 6.6
588,0,0.700, 6.6
370,0,0.900, 6.6
336,0,-0.900, 8.7
517,0,-0.700, 8.7
671,0,-0.500, 8.7
822,0,-0.300, 8.7
993,0,-0.100, 8.7
987,0,0.100, 8.7
1044,0,0.300, 8.7
985,0,0.500, 8.7
879,0,0.700, 8.7
632,0,0.900, 8.7
449,0,-0.900,11.7
81,1,-0.900,11.7
655,0,-0.700,11.7
113,1,-0.700,11.7
822,0,-0.500,11.7
140,1,-0.500,11.7
844,0,-0.300,11.7
174,1,-0.300,11.7
910,0,-0.100,11.7
226,1,-0.100,11.7
928,0,0.100,11.7
213,1,0.100,11.7
918,0,0.300,11.7
188,1,0.300,11.7
858,0,0.500,11.7
162,1,0.500,11.7
730,0,0.700,11.7
128,1,0.700,11.7
588,0,0.900,11.7
109,1,0.900,11.7
528,0,-0.900,15.6
141,1,-0.900,15.6
731,0,-0.700,15.6
214,1,-0.700,15.6
825,0,-0.500,15.6
269,1,-0.500,15.6
880,0,-0.300,15.6
305,1,-0.300,15.6
931,0,-0.100,15.6
355,1,-0.100,15.6
886,0,0.100,15.6
366,1,0.100,15.6
896,0,0.300,15.6
274,1,0.300,15.6
839,0,0.500,15.6
224,1,0.500,15.6
676,0,0.700,15.6
159,1,0.700,15.6
518,0,0.900,15.6
168,1,0.900,15.6
554,0,-0.900,20.7
216,1,-0.900,20.7
626,0,-0.700,20.7
301,1,-0.700,20.7
815,0,-0.500,20.7
361,1,-0.500,20.7
761,0,-0.300,20.7
435,1,-0.300,20.7
779,0,-0.100,20.7
504,1,-0.100,20.7
789,0,0.100,20.7
470,1,0.100,20.7
822,0,0.300,20.7
389,1,0.300,20.7
676,0,0.500,20.7
263,1,0.500,20.7
488,0,0.700,20.7
225,1,0.700,20.7
394,0,0.900,20.7
169,1,0.900,20.7
411,0,-0.900,27.7
242,1,-0.900,27.7
527,0,-0.700,27.7
353,1,-0.700,27.7
548,0,-0.500,27.7
415,1,-0.500,27.7
595,0,-0.300,27.7
511,1,-0.300,27.7
570,0,-0.100,27.7
563,1,-0.100,27.7
577,0,0.100,27.7
557,1,0.100,27.7
596,0,0.300,27.7
436,1,0.300,27.7
453,0,0.500,27.7
303,1,0.500,27.7
309,0,0.700,27.7
219,1,0.700,27.7
224,0,0.900,27.7
161,1,0.900,27.7
272,0,-0.900,36.9
255,1,-0.900,36.9
322,0,-0.700,36.9
370,1,-0.700,36.9
398,0,-0.500,36.9
445,1,-0.500,36.9
371,0,-0.300,36.9
439,1,-0.300,36.9
377,0,-0.100,36.9
541,1,-0.100,36.9
394,0,0.100,36.9
522,1,0.100,36.9
359,0,0.300,36.9
411,1,0.300,36.9
279,0,0.500,36.9
311,1,0.500,36.9
170,0,0.700,36.9
249,1,0.700,36.9
131,0,0.900,36.9
170,1,0.900,36.9
177,0,-0.900,49.2
181,1,-0.900,49.2
173,0,-0.700,49.2
311,1,-0.700,49.2
228,0,-0.500,49.2
382,1,-0.500,49.2
273,0,-0.300,49.2
393,1,-0.300,49.2
259,0,-0.100,49.2
439,1,-0.100,49.2
246,0,0.100,49.2
438,1,0.100,49.2
211,0,0.300,49.2
350,1,0.300,49.2
161,0,0.500,49.2
323,1,0.500,49.2
108,0,0.700,49.2
280,1,0.700,49.2
73,0,0.900,49.2
210,1,0.900,49.2
